Attrition,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,NumCompaniesWorked_Missing,TotalWorkngYears_Missing,EnvironmentSatisfaction_Missing,JobSatisfaction_Missing,WorkLifeBalance_Missing
0,51,Travel_Rarely,Sales,5,2,Life_Sciences,Female,1,Healthcare_Representative,Married,131160,1.0,11,0,1.0,6,1,0,0,1,3,3.0,4.0,3.0,1,1,1,1,1
0,32,Travel_Frequently,Research_Development,14,4,Other,Male,4,Sales_Executive,Married,193280,1.0,15,3,5.0,2,5,0,3,3,2,3.0,2.0,2.0,1,1,1,1,1
0,38,Non-Travel,Research_Development,2,5,Life_Sciences,Male,3,Human_Resources,Married,83210,3.0,11,3,13.0,5,8,7,5,3,4,2.0,2.0,4.0,1,1,1,1,1
0,32,Travel_Rarely,Research_Development,8,1,Medical,Male,1,Sales_Executive,Single,23420,4.0,12,2,9.0,2,6,0,4,1,3,4.0,4.0,3.0,1,1,1,1,1
0,46,Travel_Rarely,Research_Development,6,3,Life_Sciences,Female,4,Research_Director,Married,40710,3.0,13,0,28.0,5,7,7,7,3,3,4.0,3.0,2.0,1,1,1,1,1
0,29,Travel_Rarely,Research_Development,14,3,Life_Sciences,Male,2,Sales_Executive,Married,31430,2.0,22,3,10.0,2,0,0,0,4,3,3.0,3.0,3.0,1,1,1,1,1
0,31,Travel_Rarely,Research_Development,1,3,Life_Sciences,Male,3,Laboratory _Technician,Married,20440,0.0,21,0,10.0,2,9,7,8,4,4,2.0,3.0,4.0,1,1,1,1,1
0,25,Non-Travel,Research_Development,6,4,Medical,Female,4,Laboratory _Technician,Divorced,134640,1.0,13,1,6.0,2,6,1,5,3,3,1.0,2.0,4.0,1,1,1,1,1
0,45,Travel_Rarely,Research_Development,14,2,Medical,Male,2,Laboratory _Technician,Married,79910,0.0,13,2,21.0,2,20,4,10,3,3,2.0,4.0,4.0,1,1,1,1,1
0,36,Travel_Rarely,Research_Development,22,1,Life_Sciences,Male,1,Laboratory _Technician,Married,33770,0.0,12,2,16.0,2,15,10,11,1,4,3.0,4.0,3.0,1,1,1,1,1
0,55,Travel_Rarely,Research_Development,11,4,Life_Sciences,Female,1,Sales_Executive,Single,55380,0.0,17,0,37.0,2,36,4,13,3,2,4.0,4.0,3.0,1,1,1,1,1
0,28,Travel_Rarely,Research_Development,1,3,Life_Sciences,Male,1,Manufacturing_Director,Married,25920,1.0,14,0,5.0,2,5,0,4,3,4,,4.0,3.0,1,1,0,1,1
0,37,Travel_Rarely,Research_Development,1,3,Life_Sciences,Male,2,Healthcare_Representative,Married,53460,4.0,11,0,7.0,2,5,0,1,3,4,4.0,2.0,4.0,1,1,1,1,1
0,21,Travel_Rarely,Research_Development,2,2,Life_Sciences,Male,1,Laboratory _Technician,Single,42130,1.0,12,3,3.0,3,3,1,0,1,3,2.0,3.0,4.0,1,1,1,1,1
0,37,Non-Travel,Research_Development,1,3,Medical,Male,2,Sales_Executive,Divorced,41270,2.0,13,1,15.0,2,5,0,2,3,3,4.0,4.0,3.0,1,1,1,1,1
0,35,Travel_Rarely,Sales,6,4,Life_Sciences,Male,1,Sales_Representative,Divorced,24380,7.0,16,0,10.0,5,7,6,2,3,4,4.0,4.0,2.0,1,1,1,1,1
0,38,Travel_Rarely,Research_Development,6,3,Life_Sciences,Female,1,Manager,Divorced,68700,1.0,11,1,8.0,5,8,7,7,2,2,4.0,3.0,3.0,1,1,1,1,1
0,26,Travel_Frequently,Research_Development,1,4,Other,Male,2,Laboratory _Technician,Divorced,104470,1.0,18,0,6.0,3,6,1,4,3,3,2.0,4.0,1.0,1,1,1,1,1
0,50,Travel_Rarely,Sales,6,4,Life_Sciences,Male,1,Research_Scientist,Divorced,96670,3.0,23,0,28.0,2,10,1,6,4,2,3.0,2.0,3.0,1,1,1,1,1
0,53,Travel_Rarely,Research_Development,9,4,Life_Sciences,Female,2,Research_Scientist,Married,21480,3.0,11,0,21.0,2,5,1,3,2,4,1.0,2.0,2.0,1,1,1,1,1
0,42,Travel_Rarely,Research_Development,3,4,Life_Sciences,Male,1,Manufacturing_Director,Married,89260,1.0,14,0,,4,20,11,6,3,3,3.0,2.0,3.0,1,0,1,1,1
0,29,Travel_Frequently,Research_Development,13,4,Medical,Male,1,Laboratory _Technician,Single,65130,1.0,11,1,10.0,2,10,0,9,3,3,1.0,3.0,3.0,1,1,1,1,1
0,55,Travel_Rarely,Research_Development,1,4,Other,Female,1,Research_Scientist,Married,67990,3.0,11,0,12.0,2,10,0,8,2,3,4.0,4.0,4.0,1,1,1,1,1
0,26,Travel_Frequently,Research_Development,7,3,Life_Sciences,Female,1,Manager,Married,162910,1.0,22,0,5.0,3,5,3,3,4,2,3.0,4.0,3.0,1,1,1,1,1
0,37,Travel_Rarely,Sales,4,1,Marketing,Male,1,Research_Scientist,Single,27050,1.0,11,0,17.0,2,17,5,7,3,3,2.0,4.0,3.0,1,1,1,1,1
0,38,Travel_Rarely,Sales,2,3,Marketing,Female,1,Manager,Divorced,44480,9.0,12,0,10.0,3,2,1,2,3,3,3.0,4.0,3.0,1,1,1,1,1
0,28,Travel_Rarely,Research_Development,6,3,Other,Male,1,Human_Resources,Single,96370,1.0,13,0,5.0,6,5,0,2,3,3,1.0,2.0,4.0,1,1,1,1,1
0,49,Travel_Frequently,Research_Development,1,1,Medical,Female,2,Research_Scientist,Single,35910,9.0,13,0,22.0,2,3,1,2,3,3,4.0,4.0,4.0,1,1,1,1,1
0,36,Travel_Rarely,Sales,4,3,Technical_Degree,Male,3,Sales_Executive,Single,54050,4.0,14,0,10.0,2,8,7,7,2,2,4.0,4.0,3.0,1,1,1,1,1
0,31,Travel_Frequently,Research_Development,7,4,Medical,Male,1,Sales_Executive,Divorced,46840,1.0,16,1,2.0,4,2,2,2,3,3,4.0,4.0,2.0,1,1,1,1,1
0,37,Travel_Frequently,Sales,7,1,Marketing,Male,1,Laboratory _Technician,Married,15140,1.0,14,0,4.0,3,4,1,2,1,3,2.0,3.0,3.0,1,1,1,1,1
0,42,Travel_Frequently,Sales,2,2,Marketing,Male,3,Research_Director,Married,29560,5.0,13,0,23.0,2,20,4,8,3,2,4.0,4.0,4.0,1,1,1,1,1
0,35,Travel_Rarely,Sales,16,2,Life_Sciences,Male,1,Laboratory _Technician,Married,51540,0.0,19,0,12.0,2,11,6,9,3,3,3.0,2.0,2.0,1,1,1,1,1
0,36,Travel_Frequently,Research_Development,6,3,Other,Female,3,Sales_Executive,Married,69620,4.0,12,2,4.0,2,1,0,0,3,4,3.0,2.0,4.0,1,1,1,1,1
0,51,Travel_Rarely,Research_Development,2,3,Life_Sciences,Male,2,Laboratory _Technician,Divorced,56750,5.0,13,0,13.0,2,4,1,2,2,3,4.0,3.0,3.0,1,1,1,1,1
0,41,Travel_Rarely,Research_Development,23,1,Life_Sciences,Male,1,Laboratory _Technician,Single,23790,1.0,12,0,22.0,6,22,0,4,3,4,4.0,3.0,3.0,1,1,1,1,1
0,18,Travel_Rarely,Sales,6,3,Life_Sciences,Male,1,Research_Scientist,Single,38120,1.0,15,0,0.0,3,0,0,0,3,4,3.0,4.0,4.0,1,1,1,1,1
0,28,Travel_Rarely,Research_Development,7,3,Medical,Male,1,Sales_Representative,Single,46480,0.0,23,2,9.0,2,8,0,7,4,3,3.0,3.0,4.0,1,1,1,1,1
0,31,Travel_Rarely,Research_Development,6,1,Technical_Degree,Male,1,Manufacturing_Director,Married,29360,4.0,12,1,10.0,2,8,7,7,1,3,3.0,3.0,2.0,1,1,1,1,1
0,39,Travel_Rarely,Sales,4,4,Marketing,Female,2,Human_Resources,Divorced,21050,0.0,20,0,19.0,3,18,3,7,4,3,3.0,2.0,3.0,1,1,1,1,1
0,36,Non-Travel,Research_Development,4,4,Life_Sciences,Male,1,Sales_Executive,Married,85780,7.0,21,0,11.0,4,9,0,8,4,2,3.0,4.0,4.0,1,1,1,1,1
0,32,Travel_Rarely,Sales,2,3,Marketing,Male,2,Laboratory _Technician,Married,27060,1.0,21,1,13.0,4,13,4,8,4,3,4.0,2.0,2.0,1,1,1,1,1
0,38,Travel_Rarely,Research_Development,4,2,Life_Sciences,Female,3,Research_Scientist,Married,63840,3.0,19,2,19.0,4,10,0,1,2,4,4.0,3.0,4.0,1,1,1,1,1
0,58,Non-Travel,Research_Development,2,3,Life_Sciences,Male,2,Manufacturing_Director,Divorced,39680,2.0,13,2,12.0,3,5,1,2,3,4,4.0,3.0,3.0,1,1,1,1,1
0,31,Travel_Rarely,Research_Development,16,1,Technical_Degree,Female,3,Research_Scientist,Married,99070,0.0,13,1,6.0,3,5,0,3,3,3,2.0,3.0,4.0,1,1,1,1,1
0,31,Travel_Rarely,Sales,6,4,Marketing,Male,2,Sales_Executive,Married,132250,3.0,21,1,9.0,2,2,1,0,4,4,3.0,4.0,3.0,1,1,1,1,1
0,45,Travel_Frequently,Research_Development,2,1,Medical,Female,1,Sales_Executive,Divorced,35400,1.0,13,0,24.0,6,24,9,11,1,4,3.0,4.0,3.0,1,1,1,1,1
0,31,Travel_Rarely,Sales,13,4,Marketing,Female,2,Research_Scientist,Divorced,28040,0.0,19,2,3.0,0,2,2,2,3,3,2.0,3.0,1.0,1,1,1,1,1
0,33,Travel_Frequently,Research_Development,7,3,Life_Sciences,Male,4,Research_Director,Married,193920,6.0,12,1,12.0,3,10,8,8,3,4,4.0,3.0,3.0,1,1,1,1,1
0,39,Travel_Rarely,Sales,1,4,Life_Sciences,Male,1,Sales_Executive,Married,196650,1.0,22,1,21.0,6,21,11,10,4,2,1.0,3.0,3.0,1,1,1,1,1
0,43,Travel_Frequently,Research_Development,6,4,Medical,Male,4,Research_Scientist,Single,24390,0.0,15,0,9.0,2,8,1,7,3,3,4.0,3.0,4.0,1,1,1,1,1
0,49,Travel_Rarely,Research_Development,1,3,Life_Sciences,Male,3,Manufacturing_Director,Single,73140,7.0,22,0,25.0,2,7,0,7,4,3,4.0,4.0,4.0,1,1,1,1,1
0,27,Travel_Rarely,Research_Development,12,4,Medical,Male,3,Research_Scientist,Single,39020,1.0,22,0,4.0,2,4,1,2,4,4,2.0,2.0,2.0,1,1,1,1,1
0,32,Travel_Rarely,Research_Development,1,3,Life_Sciences,Male,3,Research_Scientist,Married,26620,1.0,11,1,13.0,6,13,11,9,3,4,2.0,2.0,4.0,1,1,1,1,1
